Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
sp|O00165|HAX1_HUMAN	O00165	HAX1_HUMAN	HAX1	279	Homo sapiens	1:Experimental evidence at protein level	HCLS1-associated protein X-1	1.0000	0.9989	3	8	8	8	1	3	4	     0	     0	     0		
sp|O00170|AIP_HUMAN	O00170	AIP_HUMAN	AIP	330	Homo sapiens	1:Experimental evidence at protein level	AH receptor-interacting protein	1.0000	0.9901	3	8	8	8	2	2	4	     0	     0	     0		
sp|O00182|LEG9_HUMAN	O00182	LEG9_HUMAN	LGALS9	355	Homo sapiens	1:Experimental evidence at protein level	Galectin-9	1.0000	0.9987	5	10	6	10	1	4	5	     0	     0	     0		
sp|O00214|LEG8_HUMAN	O00214	LEG8_HUMAN	LGALS8	317	Homo sapiens	1:Experimental evidence at protein level	Galectin-8	1.0000	0.9981	2	5	5	5	0	0	5	     0	     0	     0		
sp|O00221|IKBE_HUMAN	O00221	IKBE_HUMAN	NFKBIE	500	Homo sapiens	1:Experimental evidence at protein level	NF-kappa-B inhibitor epsilon	1.0000	0.9988	2	5	5	5	3	2	0	     0	     0	     0		
sp|O00231|PSD11_HUMAN	O00231	PSD11_HUMAN	PSMD11	422	Homo sapiens	1:Experimental evidence at protein level	26S proteasome non-ATPase regulatory subunit 11	1.0000	0.9983	3	5	5	5	0	0	5	     0	     0	     0		
sp|O00244|ATOX1_HUMAN	O00244	ATOX1_HUMAN	ATOX1	68	Homo sapiens	1:Experimental evidence at protein level	Copper transport protein ATOX1	1.0000	0.9987	1	7	7	7	4	2	1	     0	     0	     0		
sp|O00255|MEN1_HUMAN	O00255	MEN1_HUMAN	MEN1	610	Homo sapiens	1:Experimental evidence at protein level	Menin	1.0000	0.9969	1	3	3	3	0	1	2	     0	     0	     0		
sp|O00264|PGRC1_HUMAN	O00264	PGRC1_HUMAN	PGRMC1	195	Homo sapiens	1:Experimental evidence at protein level	Membrane-associated progesterone receptor component 1	1.0000	0.9984	2	3	3	3	0	1	2	     0	     0	     0		
sp|O00267|SPT5H_HUMAN	O00267	SPT5H_HUMAN	SUPT5H	1087	Homo sapiens	1:Experimental evidence at protein level	Transcription elongation factor SPT5	1.0000	0.9961	4	5	5	5	1	3	1	     0	     0	     0		
sp|O00329|PK3CD_HUMAN	O00329	PK3CD_HUMAN	PIK3CD	1044	Homo sapiens	1:Experimental evidence at protein level	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform	1.0000	0.9865	3	3	3	3	0	2	1	     0	     0	     0		
sp|O00410|IPO5_HUMAN	O00410	IPO5_HUMAN	IPO5	1097	Homo sapiens	1:Experimental evidence at protein level	Importin-5	1.0000	0.9979	2	2	2	2	1	0	1	     0	     0	     0		
sp|O00418|EF2K_HUMAN	O00418	EF2K_HUMAN	EEF2K	725	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic elongation factor 2 kinase	1.0000	0.9894	3	4	4	4	1	1	2	     0	     0	     0		
sp|O00422|SAP18_HUMAN	O00422	SAP18_HUMAN	SAP18	153	Homo sapiens	1:Experimental evidence at protein level	Histone deacetylase complex subunit SAP18	1.0000	0.9950	3	7	7	7	0	2	5	     0	     0	     0		
sp|O00429|DNM1L_HUMAN	O00429	DNM1L_HUMAN	DNM1L	736	Homo sapiens	1:Experimental evidence at protein level	Dynamin-1-like protein	1.0000	0.9984	3	9	9	9	1	2	6	     0	     0	     0		
sp|O00462|MANBA_HUMAN	O00462	MANBA_HUMAN	MANBA	879	Homo sapiens	1:Experimental evidence at protein level	Beta-mannosidase	1.0000	0.9931	1	2	2	2	0	0	2	     0	     0	     0		
sp|O00468|AGRIN_HUMAN	O00468	AGRIN_HUMAN	AGRN	2068	Homo sapiens	1:Experimental evidence at protein level	Agrin	1.0000	0.9980	2	3	3	3	0	0	3	     0	     0	     0		
sp|O00478|BT3A3_HUMAN	O00478	BT3A3_HUMAN	BTN3A3	584	Homo sapiens	1:Experimental evidence at protein level	Butyrophilin subfamily 3 member A3	1.0000	0.9969	5	5	1	5	0	1	4	     0	     0	     0		
sp|O00483|CXFA4_HUMAN	O00483	CXFA4_HUMAN	COXFA4	81	Homo sapiens	1:Experimental evidence at protein level	Cytochrome c oxidase subunit FA4	1.0000	0.9978	2	3	3	3	0	2	1	     0	     0	     0		
sp|O00487|PSDE_HUMAN	O00487	PSDE_HUMAN	PSMD14	310	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin C-terminal hydrolase PSMD14	1.0000	0.9987	3	10	10	10	2	3	5	     0	     0	     0		
sp|O00505|IMA4_HUMAN	O00505	IMA4_HUMAN	KPNA3	521	Homo sapiens	1:Experimental evidence at protein level	Importin subunit alpha-4	1.0000	0.9934	2	6	6	6	1	2	3	     0	     0	     0		
sp|O00566|MPP10_HUMAN	O00566	MPP10_HUMAN	MPHOSPH10	681	Homo sapiens	1:Experimental evidence at protein level	U3 small nucleolar ribonucleoprotein protein MPP10	1.0000	0.9989	3	3	3	3	0	0	3	     0	     0	     0		
sp|O00571|DDX3X_HUMAN	O00571	DDX3X_HUMAN	DDX3X	662	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent RNA helicase DDX3X	1.0000	0.9976	4	11	0	11	0	1	10	     0	     0	     0	sp|O15523|DDX3Y_HUMAN	
sp|O00584|RNT2_HUMAN	O00584	RNT2_HUMAN	RNASET2	256	Homo sapiens	1:Experimental evidence at protein level	Ribonuclease T2	1.0000	0.9987	2	3	3	3	0	1	2	     0	     0	     0		
sp|O00626|CCL22_HUMAN	O00626	CCL22_HUMAN	CCL22	93	Homo sapiens	1:Experimental evidence at protein level	C-C motif chemokine 22	1.0000	0.9940	6	11	11	11	1	6	4	     0	     0	     0		
sp|O00754|MA2B1_HUMAN	O00754	MA2B1_HUMAN	MAN2B1	1011	Homo sapiens	1:Experimental evidence at protein level	Lysosomal alpha-mannosidase	1.0000	0.9990	6	11	11	11	2	7	2	     0	     0	     0		
sp|O00767|SCD_HUMAN	O00767	SCD_HUMAN	SCD	359	Homo sapiens	1:Experimental evidence at protein level	Stearoyl-CoA desaturase	1.0000	0.9988	6	15	15	15	2	4	9	     0	     0	     0		
sp|O14497|ARI1A_HUMAN	O14497	ARI1A_HUMAN	ARID1A	2285	Homo sapiens	1:Experimental evidence at protein level	AT-rich interactive domain-containing protein 1A	1.0000	0.9939	5	6	6	6	0	0	6	     0	     0	     0		
sp|O14524|NEMP1_HUMAN	O14524	NEMP1_HUMAN	NEMP1	444	Homo sapiens	1:Experimental evidence at protein level	Nuclear envelope integral membrane protein 1	1.0000	0.9960	2	3	3	3	0	2	1	     0	     0	     0		
sp|O14578|CTRO_HUMAN	O14578	CTRO_HUMAN	CIT	2027	Homo sapiens	1:Experimental evidence at protein level	Citron Rho-interacting kinase	1.0000	0.9947	2	4	4	4	1	2	1	     0	     0	     0		
sp|O14646|CHD1_HUMAN	O14646	CHD1_HUMAN	CHD1	1710	Homo sapiens	1:Experimental evidence at protein level	ATP-dependent chromatin remodeler CHD1	1.0000	0.9904	2	3	3	4	0	1	2	     0	     0	     0		
sp|O14672|ADA10_HUMAN	O14672	ADA10_HUMAN	ADAM10	748	Homo sapiens	1:Experimental evidence at protein level	Disintegrin and metalloproteinase domain-containing protein 10	1.0000	0.9984	3	6	6	6	0	0	6	     0	     0	     0		
sp|O14730|RIOK3_HUMAN	O14730	RIOK3_HUMAN	RIOK3	519	Homo sapiens	1:Experimental evidence at protein level	Serine/threonine-protein kinase RIO3	1.0000	0.9958	2	4	4	4	1	1	2	     0	     0	     0		
sp|O14773|TPP1_HUMAN	O14773	TPP1_HUMAN	TPP1	563	Homo sapiens	1:Experimental evidence at protein level	Tripeptidyl-peptidase 1	1.0000	0.9935	2	2	2	2	0	1	1	     0	     0	     0		
sp|O14788|TNF11_HUMAN	O14788	TNF11_HUMAN	TNFSF11	317	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor ligand superfamily member 11	1.0000	0.9896	2	3	3	3	0	0	3	     0	     0	     0		
sp|O14791|APOL1_HUMAN	O14791	APOL1_HUMAN	APOL1	398	Homo sapiens	1:Experimental evidence at protein level	Apolipoprotein L1	1.0000	0.9937	2	2	2	2	0	1	1	     0	     0	     0		
sp|O14817|TSN4_HUMAN	O14817	TSN4_HUMAN	TSPAN4	238	Homo sapiens	1:Experimental evidence at protein level	Tetraspanin-4	1.0000	0.9912	2	3	3	3	0	0	3	     0	     0	     0		
sp|O14836|TR13B_HUMAN	O14836	TR13B_HUMAN	TNFRSF13B	293	Homo sapiens	1:Experimental evidence at protein level	Tumor necrosis factor receptor superfamily member 13B	1.0000	0.9968	2	6	6	6	2	2	2	     0	     0	     0		
sp|O14880|MGST3_HUMAN	O14880	MGST3_HUMAN	MGST3	152	Homo sapiens	1:Experimental evidence at protein level	Glutathione S-transferase 3, mitochondrial	1.0000	0.9971	2	5	5	5	1	2	2	     0	     0	     0		
sp|O14920|IKKB_HUMAN	O14920	IKKB_HUMAN	IKBKB	756	Homo sapiens	1:Experimental evidence at protein level	Inhibitor of nuclear factor kappa-B kinase subunit beta	1.0000	0.9968	2	4	4	4	1	1	2	     0	     0	     0		
sp|O14925|TIM23_HUMAN	O14925	TIM23_HUMAN	TIMM23	209	Homo sapiens	1:Experimental evidence at protein level	Mitochondrial import inner membrane translocase subunit Tim23	1.0000	0.9975	4	22	10	22	3	9	10	     0	     0	     0		
sp|O14929|HAT1_HUMAN	O14929	HAT1_HUMAN	HAT1	419	Homo sapiens	1:Experimental evidence at protein level	Histone acetyltransferase type B catalytic subunit	1.0000	0.9928	3	9	9	9	1	4	4	     0	     0	     0		
sp|O14949|QCR8_HUMAN	O14949	QCR8_HUMAN	UQCRQ	82	Homo sapiens	1:Experimental evidence at protein level	Cytochrome b-c1 complex subunit 8	1.0000	0.9981	3	8	8	8	0	2	6	     0	     0	     0		
sp|O14964|HGS_HUMAN	O14964	HGS_HUMAN	HGS	777	Homo sapiens	1:Experimental evidence at protein level	Hepatocyte growth factor-regulated tyrosine kinase substrate	1.0000	0.9953	1	2	2	2	0	0	2	     0	     0	     0		
sp|O14965|AURKA_HUMAN	O14965	AURKA_HUMAN	AURKA	403	Homo sapiens	1:Experimental evidence at protein level	Aurora kinase A	1.0000	0.9959	2	3	3	3	0	1	2	     0	     0	     0		
sp|O14979|HNRDL_HUMAN	O14979	HNRDL_HUMAN	HNRNPDL	420	Homo sapiens	1:Experimental evidence at protein level	Heterogeneous nuclear ribonucleoprotein D-like	1.0000	0.9985	3	3	2	3	0	1	2	     0	     0	     0		
sp|O14980|XPO1_HUMAN	O14980	XPO1_HUMAN	XPO1	1071	Homo sapiens	1:Experimental evidence at protein level	Exportin-1	1.0000	0.9914	3	4	4	4	0	3	1	     0	     0	     0		
sp|O15027|SC16A_HUMAN	O15027	SC16A_HUMAN	SEC16A	2357	Homo sapiens	1:Experimental evidence at protein level	Protein transport protein Sec16A	1.0000	0.9916	3	5	5	5	0	2	3	     0	     0	     0		
sp|O15031|PLXB2_HUMAN	O15031	PLXB2_HUMAN	PLXNB2	1838	Homo sapiens	1:Experimental evidence at protein level	Plexin-B2	1.0000	0.9967	2	3	3	3	0	0	3	     0	     0	     0		
sp|O15040|TCPR2_HUMAN	O15040	TCPR2_HUMAN	TECPR2	1411	Homo sapiens	1:Experimental evidence at protein level	Tectonin beta-propeller repeat-containing protein 2	1.0000	0.9926	3	4	4	4	0	1	3	     0	     0	     0		
sp|O15042|SR140_HUMAN	O15042	SR140_HUMAN	U2SURP	1029	Homo sapiens	1:Experimental evidence at protein level	U2 snRNP-associated SURP motif-containing protein	1.0000	0.9987	4	13	13	13	3	4	6	     0	     0	     0		
sp|O15050|TRNK1_HUMAN	O15050	TRNK1_HUMAN	TRANK1	2925	Homo sapiens	1:Experimental evidence at protein level	TPR and ankyrin repeat-containing protein 1	1.0000	0.9909	3	3	3	3	1	2	0	     0	     0	     0		
sp|O15055|PER2_HUMAN	O15055	PER2_HUMAN	PER2	1255	Homo sapiens	1:Experimental evidence at protein level	Period circadian protein homolog 2	1.0000	0.9927	2	2	2	2	0	0	2	     0	     0	     0		
sp|O15067|PUR4_HUMAN	O15067	PUR4_HUMAN	PFAS	1338	Homo sapiens	1:Experimental evidence at protein level	Phosphoribosylformylglycinamidine synthase	1.0000	0.9934	1	1	1	1	0	0	1	     0	     0	     0		
sp|O15143|ARC1B_HUMAN	O15143	ARC1B_HUMAN	ARPC1B	372	Homo sapiens	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 1B	1.0000	0.9955	1	3	3	3	0	1	2	     0	     0	     0		
sp|O15145|ARPC3_HUMAN	O15145	ARPC3_HUMAN	ARPC3	178	Homo sapiens	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 3	1.0000	0.9974	2	3	3	3	0	3	0	     0	     0	     0		
sp|O15160|RPAC1_HUMAN	O15160	RPAC1_HUMAN	POLR1C	346	Homo sapiens	1:Experimental evidence at protein level	DNA-directed RNA polymerases I and III subunit RPAC1	1.0000	0.9969	2	4	4	4	1	3	0	     0	     0	     0		
sp|O15195|VILL_HUMAN	O15195	VILL_HUMAN	VILL	856	Homo sapiens	1:Experimental evidence at protein level	Villin-like protein	1.0000	0.9990	1	2	2	2	0	0	2	     0	     0	     0		
sp|O15212|PFD6_HUMAN	O15212	PFD6_HUMAN	PFDN6	129	Homo sapiens	1:Experimental evidence at protein level	Prefoldin subunit 6	1.0000	0.9985	3	10	10	10	3	4	3	     0	     0	     0		
sp|O15213|WDR46_HUMAN	O15213	WDR46_HUMAN	WDR46	610	Homo sapiens	1:Experimental evidence at protein level	WD repeat-containing protein 46	1.0000	0.9988	3	8	8	8	3	2	3	     0	     0	     0		
sp|O15234|CASC3_HUMAN	O15234	CASC3_HUMAN	CASC3	703	Homo sapiens	1:Experimental evidence at protein level	Protein CASC3	1.0000	0.9989	2	6	6	6	1	1	4	     0	     0	     0		
sp|O15235|RT12_HUMAN	O15235	RT12_HUMAN	MRPS12	138	Homo sapiens	1:Experimental evidence at protein level	Small ribosomal subunit protein uS12m	1.0000	0.9936	3	3	3	3	0	1	2	     0	     0	     0		
sp|O15239|NDUA1_HUMAN	O15239	NDUA1_HUMAN	NDUFA1	70	Homo sapiens	1:Experimental evidence at protein level	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1	1.0000	0.9975	3	24	24	24	2	4	18	     0	     0	     0		
sp|O15254|ACOX3_HUMAN	O15254	ACOX3_HUMAN	ACOX3	700	Homo sapiens	1:Experimental evidence at protein level	Peroxisomal acyl-coenzyme A oxidase 3	1.0000	0.9854	2	2	2	2	0	0	2	     0	     0	     0		
sp|O15270|SPTC2_HUMAN	O15270	SPTC2_HUMAN	SPTLC2	562	Homo sapiens	1:Experimental evidence at protein level	Serine palmitoyltransferase 2	1.0000	0.9977	3	5	5	5	0	2	3	     0	     0	     0		
sp|O15294|OGT1_HUMAN	O15294	OGT1_HUMAN	OGT	1046	Homo sapiens	1:Experimental evidence at protein level	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit	1.0000	0.9939	4	4	4	4	0	4	0	     0	     0	     0		
sp|O15304|SIVA_HUMAN	O15304	SIVA_HUMAN	SIVA1	175	Homo sapiens	1:Experimental evidence at protein level	Apoptosis regulatory protein Siva	1.0000	0.9939	1	3	3	3	1	0	2	     0	     0	     0		
sp|O15355|PPM1G_HUMAN	O15355	PPM1G_HUMAN	PPM1G	546	Homo sapiens	1:Experimental evidence at protein level	Protein phosphatase 1G	1.0000	0.9979	2	3	3	3	1	1	1	     0	     0	     0		
sp|O15360|FANCA_HUMAN	O15360	FANCA_HUMAN	FANCA	1455	Homo sapiens	1:Experimental evidence at protein level	Fanconi anemia group A protein	1.0000	0.9939	2	2	2	2	0	1	1	     0	     0	     0		
sp|O15370|SOX12_HUMAN	O15370	SOX12_HUMAN	SOX12	315	Homo sapiens	1:Experimental evidence at protein level	Transcription factor SOX-12	1.0000	0.9988	2	8	7	8	1	1	6	     0	     0	     0		
sp|O15371|EIF3D_HUMAN	O15371	EIF3D_HUMAN	EIF3D	548	Homo sapiens	1:Experimental evidence at protein level	Eukaryotic translation initiation factor 3 subunit D	1.0000	0.9944	2	2	2	2	0	2	0	     0	     0	     0		
sp|O15381|NVL_HUMAN	O15381	NVL_HUMAN	NVL	856	Homo sapiens	1:Experimental evidence at protein level	Nuclear valosin-containing protein-like	1.0000	0.9973	2	3	3	3	1	0	2	     0	     0	     0		
sp|O15389|SIGL5_HUMAN	O15389	SIGL5_HUMAN	SIGLEC5	551	Homo sapiens	1:Experimental evidence at protein level	Sialic acid-binding Ig-like lectin 5	1.0000	0.9888	1	4	0	4	0	1	3	     0	     0	     0	sp|Q08ET2|SIG14_HUMAN	
sp|O15397|IPO8_HUMAN	O15397	IPO8_HUMAN	IPO8	1037	Homo sapiens	1:Experimental evidence at protein level	Importin-8	1.0000	0.9987	4	6	6	6	0	4	2	     0	     0	     0		
sp|O15427|MOT4_HUMAN	O15427	MOT4_HUMAN	SLC16A3	465	Homo sapiens	1:Experimental evidence at protein level	Monocarboxylate transporter 4	1.0000	0.9948	2	4	4	4	2	2	0	     0	     0	     0		
sp|O15439|MRP4_HUMAN	O15439	MRP4_HUMAN	ABCC4	1325	Homo sapiens	1:Experimental evidence at protein level	ATP-binding cassette sub-family C member 4	1.0000	0.9934	3	5	5	5	1	2	2	     0	     0	     0		
sp|O15511|ARPC5_HUMAN	O15511	ARPC5_HUMAN	ARPC5	151	Homo sapiens	1:Experimental evidence at protein level	Actin-related protein 2/3 complex subunit 5	1.0000	0.9968	2	8	8	8	3	2	3	     0	     0	     0		
sp|O15519|CFLAR_HUMAN	O15519	CFLAR_HUMAN	CFLAR	480	Homo sapiens	1:Experimental evidence at protein level	CASP8 and FADD-like apoptosis regulator	1.0000	0.9898	2	4	4	4	0	1	3	     0	     0	     0		
sp|O15525|MAFG_HUMAN	O15525	MAFG_HUMAN	MAFG	162	Homo sapiens	1:Experimental evidence at protein level	Transcription factor MafG	1.0000	0.9977	2	3	3	3	0	1	2	     0	     0	     0		
