PROTID	GENEID	PROTLEN	GRLCL_1D_ETHCD_SPC	GRLCL_1D_HCD_SPC	GRLCL_2D_ETHCD_SPC	
SPROHSA115111		66	1	0	2	
SPROHSA115747		58	0	1	3	
SPROHSA116348		47	0	5	2	
SPROHSA116442		95	0	1	1	
SPROHSA116960		66	3	6	5	
SPROHSA117105		77	0	1	0	
SPROHSA117113		61	0	3	4	
SPROHSA117173		65	2	2	1	
SPROHSA117174		95	1	1	0	
SPROHSA117240		69	0	1	1	
SPROHSA117275		81	0	1	0	
SPROHSA117292		73	1	0	1	
SPROHSA117320		14	0	0	2	
SPROHSA117327		100	1	2	5	
SPROHSA117599		70	0	0	3	
SPROHSA117612		87	0	4	1	
SPROHSA117623		71	1	2	2	
SPROHSA117633		94	4	8	0	
SPROHSA117641		65	4	5	3	
SPROHSA117845		82	0	2	1	
SPROHSA118349		82	0	1	1	
SPROHSA118359		94	2	2	0	
SPROHSA118425		64	0	1	2	
SPROHSA118643		73	0	1	0	
SPROHSA11888		96	0	1	4	
SPROHSA118951		83	0	1	2	
SPROHSA119172		68	0	1	2	
SPROHSA119438		70	0	1	3	
SPROHSA119517		82	0	0	2	
SPROHSA119585		99	0	0	2	
SPROHSA119734		61	0	2	6	
SPROHSA119737		96	3	1	2	
SPROHSA119842		78	0	0	3	
SPROHSA119924		81	3	0	2	
SPROHSA120053		77	0	0	2	
SPROHSA120071		75	2	2	1	
SPROHSA120370		96	1	4	2	
SPROHSA120782		99	0	2	2	
SPROHSA120920		46	0	0	4	
SPROHSA120926		95	9	18	5	
SPROHSA121027		92	0	0	2	
SPROHSA121478		89	0	3	0	
SPROHSA121523		89	1	1	2	
SPROHSA122057		93	2	5	9	
SPROHSA122622		69	4	5	3	
SPROHSA122744		77	0	1	1	
SPROHSA122765		61	0	1	2	
SPROHSA122855		81	0	2	1	
SPROHSA122908		76	0	0	2	
SPROHSA123152		58	0	2	1	
SPROHSA123225		98	0	0	1	
SPROHSA123321		92	0	0	4	
SPROHSA123694		96	0	2	1	
SPROHSA124045		59	0	0	2	
SPROHSA124152		88	0	0	1	
SPROHSA124174		94	1	1	2	
SPROHSA124232		92	2	0	1	
SPROHSA124242		89	0	0	2	
SPROHSA12427		44	1	2	1	
SPROHSA124452		45	0	2	0	
SPROHSA124600		58	0	0	1	
SPROHSA124781		95	1	2	2	
SPROHSA124938		77	0	0	1	
SPROHSA124992		84	4	5	7	
SPROHSA125080		37	0	3	0	
SPROHSA125254		45	1	2	1	
SPROHSA12552		83	0	0	2	
SPROHSA125536		93	2	2	0	
SPROHSA125695		81	0	0	4	
SPROHSA125783		91	1	3	1	
SPROHSA125880		25	1	1	1	
SPROHSA126109		72	1	2	2	
SPROHSA126220		48	0	1	1	
SPROHSA126259		70	2	4	3	
SPROHSA126639		80	0	0	1	
SPROHSA126815		72	1	2	2	
SPROHSA126910		88	1	1	2	
SPROHSA127231		95	0	2	1	
SPROHSA127299		87	0	0	2	
SPROHSA127411		98	0	2	2	
SPROHSA127422		87	3	3	2	
SPROHSA127508		81	3	5	14	
SPROHSA127536		96	1	1	2	
SPROHSA127629		76	1	1	2	
SPROHSA12786		19	0	2	2	
SPROHSA128125		86	0	6	2	
SPROHSA12818		11	1	2	1	
SPROHSA12837		90	1	2	0	
SPROHSA128586		76	2	1	1	
SPROHSA129074		69	1	3	2	
SPROHSA129187		98	1	2	3	
SPROHSA12923		46	0	1	2	
SPROHSA129594		71	1	2	1	
SPROHSA12983		60	0	0	2	
SPROHSA129879		64	1	1	1	
SPROHSA129923		96	2	2	3	
SPROHSA130031		74	0	2	1	
SPROHSA130039		53	0	1	1	
SPROHSA1301		51	2	2	3	
SPROHSA130120		91	1	1	2	
SPROHSA130173		97	3	1	0	
SPROHSA130260		76	0	1	1	
SPROHSA130323		74	2	3	0	
SPROHSA130329		86	1	0	2	
SPROHSA130716		68	0	3	2	
SPROHSA130989		53	0	0	2	
SPROHSA131197		99	1	2	2	
SPROHSA131224		51	2	2	5	
SPROHSA131331		34	0	0	2	
SPROHSA131705		81	1	1	2	
SPROHSA13179		92	0	2	1	
SPROHSA132127		85	0	2	1	
SPROHSA132232		95	1	2	0	
SPROHSA132281		80	0	2	0	
SPROHSA132822		73	0	1	1	
SPROHSA133136		99	0	2	2	
SPROHSA133204		93	0	3	0	
SPROHSA13393		70	0	1	2	
SPROHSA134080		87	0	0	1	
SPROHSA134140		76	0	1	2	
SPROHSA134165		88	0	1	2	
SPROHSA134350		47	2	4	2	
SPROHSA134493		73	1	2	1	
SPROHSA134674		80	1	1	2	
SPROHSA13482		57	9	12	18	
SPROHSA134963		71	1	2	1	
SPROHSA134992		98	2	6	0	
SPROHSA13503		50	0	0	2	
SPROHSA13510		70	6	8	0	
SPROHSA135366		42	5	4	11	
SPROHSA135418		75	0	1	1	
SPROHSA135454		43	0	2	2	
SPROHSA135681		96	0	2	2	
SPROHSA136268		94	0	2	0	
SPROHSA13672		85	2	3	4	
SPROHSA137028		34	0	1	3	
SPROHSA137227		50	0	0	2	
SPROHSA137258		91	1	1	2	
SPROHSA137264		45	0	1	1	
SPROHSA137432		98	0	1	1	
SPROHSA137519		73	4	2	1	
SPROHSA137891		76	0	0	3	
SPROHSA138033		68	0	1	2	
SPROHSA138182		73	0	0	2	
SPROHSA138508		80	0	0	4	
SPROHSA138537		79	3	3	1	
SPROHSA138604		85	0	0	2	
SPROHSA138689		86	1	1	1	
SPROHSA13892		64	1	1	3	
SPROHSA139134		96	2	5	1	
SPROHSA139259		85	0	3	0	
SPROHSA139615		15	0	1	1	
SPROHSA139637		41	0	2	0	
SPROHSA139679		43	0	1	1	
SPROHSA13982		56	0	1	1	
SPROHSA140023		98	1	2	1	
SPROHSA140104		74	0	1	2	
SPROHSA140178		70	0	1	1	
SPROHSA140318		70	2	3	3	
SPROHSA140358		66	0	2	1	
SPROHSA140360		71	0	0	1	
SPROHSA140623		10	1	1	2	
SPROHSA140650		71	0	1	1	
SPROHSA14090		93	1	1	1	
SPROHSA141526		74	0	2	2	
SPROHSA141854		85	0	0	1	
SPROHSA142283		70	0	1	6	
SPROHSA142482		98	0	1	1	
SPROHSA142715		45	0	1	3	
SPROHSA143072		44	1	2	1	
SPROHSA143493		63	0	0	3	
SPROHSA143724		77	0	0	4	
SPROHSA143929		79	0	0	4	
SPROHSA143990		74	0	1	2	
SPROHSA144201		63	4	6	12	
SPROHSA144297		99	0	1	1	
SPROHSA144351		95	1	1	1	
SPROHSA144664		96	1	4	4	
SPROHSA144752		90	0	0	2	
SPROHSA144821		88	0	2	0	
SPROHSA144931		70	0	0	2	
SPROHSA145041		41	2	2	0	
SPROHSA145693		46	1	2	0	
SPROHSA145870		80	0	0	2	
SPROHSA14596		46	2	2	1	
SPROHSA146		86	1	1	3	
SPROHSA146003		69	8	9	1	
SPROHSA146210		30	0	1	4	
SPROHSA146269		40	0	0	2	
SPROHSA146594		80	0	0	1	
SPROHSA14668		64	0	1	2	
SPROHSA146801		89	1	0	2	
SPROHSA146943		92	0	2	0	
SPROHSA14735		99	1	1	2	
SPROHSA148310		97	1	6	1	
SPROHSA14857		99	0	2	2	
SPROHSA148601		69	0	0	2	
SPROHSA148609		75	1	1	2	
SPROHSA148724		44	3	2	1	
SPROHSA148742		50	1	2	1	
SPROHSA149048		23	2	2	1	
SPROHSA149097		95	0	2	0	
SPROHSA149285		75	1	2	1	
SPROHSA149591		79	0	1	2	
SPROHSA149791		22	0	0	3	
SPROHSA150055		82	2	1	1	
SPROHSA150119		75	0	1	0	
SPROHSA150167		64	0	0	1	
SPROHSA150235		97	0	2	2	
SPROHSA150516		94	1	1	0	
SPROHSA151143		55	1	1	3	
SPROHSA15126		72	0	2	1	
SPROHSA151288		45	1	10	1	
SPROHSA151363		42	0	1	2	
SPROHSA151364		58	0	4	2	
SPROHSA151499		93	0	3	3	
SPROHSA151722		17	0	1	3	
SPROHSA151806		37	0	2	2	
SPROHSA15210		90	1	2	4	
SPROHSA152439		52	2	3	1	
SPROHSA15263		84	0	0	3	
SPROHSA152918		65	0	0	2	
SPROHSA153299		87	0	1	3	
SPROHSA153832		95	0	0	1	
SPROHSA153844		86	1	1	3	
SPROHSA153868		45	4	2	2	
SPROHSA154419		69	0	2	1	
SPROHSA154466		88	0	2	1	
SPROHSA154784		67	1	1	0	
SPROHSA154805		51	0	1	2	
SPROHSA154901		54	1	1	1	
SPROHSA155117		91	0	1	0	
SPROHSA15539		73	2	1	1	
SPROHSA155485		19	4	2	0	
SPROHSA155709		93	0	2	1	
SPROHSA155954		91	2	0	2	
SPROHSA156080		93	0	0	3	
SPROHSA15731		91	0	2	0	
SPROHSA157560		56	0	4	2	
SPROHSA157907		95	1	2	0	
SPROHSA157987		72	0	0	1	
SPROHSA158576		70	0	0	3	
SPROHSA158577		74	0	1	1	
SPROHSA158709		53	0	3	2	
SPROHSA158860		88	0	2	0	
SPROHSA158873		57	0	1	4	
SPROHSA158925		81	1	1	0	
SPROHSA159325		85	0	0	1	
SPROHSA15945		98	0	1	1	
SPROHSA159560		65	0	1	1	
SPROHSA159661		52	0	1	1	
SPROHSA160108		92	0	1	2	
SPROHSA160169		90	0	0	1	
SPROHSA160245		71	0	1	2	
SPROHSA160560		70	1	1	1	
SPROHSA161040		100	0	2	0	
SPROHSA161261		87	0	0	2	
SPROHSA161289		99	1	4	3	
SPROHSA161335		100	0	1	2	
SPROHSA162407		70	0	3	1	
SPROHSA162665		63	1	0	3	
SPROHSA162708		82	0	2	0	
SPROHSA162855		100	0	0	2	
SPROHSA162978		85	2	2	0	
SPROHSA163032		54	1	1	2	
SPROHSA163204		77	2	1	0	
SPROHSA163431		79	1	1	1	
SPROHSA163517		98	6	4	4	
SPROHSA1637		89	0	0	2	
SPROHSA163705		98	4	17	17	
SPROHSA163915		49	0	2	1	
SPROHSA164390		91	0	1	3	
SPROHSA164713		50	0	2	1	
SPROHSA164925		41	0	1	2	
SPROHSA165128		61	0	2	0	
SPROHSA165477		62	0	4	1	
SPROHSA165895		51	0	2	0	
SPROHSA165904		75	5	8	3	
SPROHSA166149		96	0	1	1	
SPROHSA166450		40	0	0	1	
SPROHSA16648		92	0	0	1	
SPROHSA166805		76	3	2	1	
SPROHSA166821		43	1	3	2	
SPROHSA167108		68	0	0	2	
SPROHSA167138		50	2	1	1	
SPROHSA167258		77	10	8	12	
SPROHSA167272		83	0	1	1	
SPROHSA167799		74	0	1	2	
SPROHSA168288		44	1	2	1	
SPROHSA168336		96	0	2	0	
SPROHSA16847		40	0	0	2	
SPROHSA168637		52	1	0	3	
SPROHSA168865		81	0	2	0	
SPROHSA168898		100	0	0	2	
SPROHSA168923		27	0	2	1	
SPROHSA169407		100	4	8	8	
SPROHSA169711		41	0	0	2	
SPROHSA169738		77	1	1	1	
SPROHSA169864		75	0	0	3	
SPROHSA169958		70	7	8	2	
SPROHSA170205		65	1	1	0	
SPROHSA170456		100	3	1	0	
SPROHSA170462		95	1	4	1	
SPROHSA171136		45	2	2	3	
SPROHSA171456		74	1	1	4	
SPROHSA171879		52	0	4	2	
SPROHSA172912		41	0	1	2	
SPROHSA173383		65	2	3	1	
SPROHSA173467		91	1	2	0	
SPROHSA173568		47	1	1	1	
SPROHSA173872		37	0	1	0	
SPROHSA174088		93	1	0	1	
SPROHSA174296		77	0	1	0	
SPROHSA17509		86	3	1	1	
SPROHSA175188		33	0	1	0	
SPROHSA175298		19	0	0	1	
SPROHSA175457		81	0	3	1	
SPROHSA175536		76	0	1	2	
SPROHSA175551		75	0	3	3	
SPROHSA175557		45	2	1	2	
SPROHSA175970		89	5	3	6	
SPROHSA176084		58	0	2	1	
SPROHSA176107		83	0	1	0	
SPROHSA1766		44	0	1	2	
SPROHSA177		75	0	2	1	
SPROHSA177146		94	5	2	1	
SPROHSA177372		96	0	1	2	
SPROHSA1774		98	0	1	2	
SPROHSA17815		98	2	2	5	
SPROHSA178440		35	1	1	2	
SPROHSA178477		95	1	2	1	
SPROHSA178491		58	4	6	5	
SPROHSA179428		84	1	2	2	
SPROHSA180805		51	0	0	2	
SPROHSA180839		100	0	2	1	
SPROHSA180925		77	1	0	2	
SPROHSA181350		93	0	0	1	
SPROHSA181389		63	0	0	1	
SPROHSA182027		87	0	0	1	
SPROHSA182231		63	3	2	5	
SPROHSA182308		65	6	5	2	
SPROHSA182309		98	1	1	2	
SPROHSA182461		58	2	2	5	
SPROHSA182708		26	2	2	1	
SPROHSA182802		97	0	1	2	
SPROHSA183118		41	0	1	3	
SPROHSA183572		29	0	2	1	
SPROHSA183888		58	1	3	4	
SPROHSA18441		73	0	1	2	
SPROHSA18513		99	1	6	6	
SPROHSA185338		65	0	1	2	
SPROHSA185544		73	0	3	2	
SPROHSA186279		12	2	5	8	
SPROHSA186582		93	1	2	3	
SPROHSA186847		52	0	1	1	
SPROHSA187050		37	3	4	2	
SPROHSA187187		92	1	1	0	
SPROHSA187546		73	0	0	2	
SPROHSA187839		44	0	1	1	
SPROHSA187847		59	0	1	4	
SPROHSA188920		73	0	0	3	
SPROHSA189060		93	2	5	1	
SPROHSA189081		66	0	1	1	
SPROHSA189162		68	0	0	3	
SPROHSA189344		26	0	0	2	
SPROHSA189401		72	1	3	2	
SPROHSA189429		71	1	2	0	
SPROHSA189612		85	0	2	5	
SPROHSA189807		59	2	2	2	
SPROHSA19016		38	0	0	3	
SPROHSA190226		34	0	2	1	
SPROHSA190434		90	3	3	3	
SPROHSA190553		90	0	0	2	
SPROHSA190573		36	1	1	2	
SPROHSA190582		96	0	1	1	
SPROHSA190745		95	0	2	2	
SPROHSA190771		96	1	3	17	
SPROHSA191408		30	1	1	2	
SPROHSA19179		84	3	2	0	
SPROHSA191991		65	3	4	1	
SPROHSA191992		78	3	2	1	
SPROHSA192286		76	0	1	1	
SPROHSA192545		58	2	4	7	
SPROHSA193058		92	3	3	2	
SPROHSA193098		20	1	1	0	
SPROHSA19333		15	0	0	3	
SPROHSA193643		62	1	2	1	
SPROHSA194360		94	6	10	7	
SPROHSA194676		62	2	3	2	
SPROHSA194761		89	0	0	1	
SPROHSA19487		85	0	2	1	
SPROHSA196036		76	0	1	2	
SPROHSA196049		99	1	3	0	
SPROHSA196107		63	0	2	1	
SPROHSA19618		90	1	2	3	
SPROHSA196304		78	3	4	1	
SPROHSA196380		17	0	1	1	
SPROHSA196477		88	1	11	2	
SPROHSA196653		70	0	2	0	
SPROHSA197148		98	0	0	2	
SPROHSA197228		73	1	2	1	
SPROHSA197262		42	0	1	0	
SPROHSA197317		57	1	1	1	
SPROHSA197444		32	0	1	1	
SPROHSA198015		93	1	1	2	
SPROHSA19876		97	1	1	3	
SPROHSA199270		53	1	2	0	
SPROHSA199403		12	1	1	2	
SPROHSA199509		93	0	1	1	
SPROHSA199734		53	0	2	0	
SPROHSA200144		76	1	2	3	
SPROHSA201447		87	1	3	1	
SPROHSA201800		99	1	1	1	
SPROHSA202006		93	2	2	2	
SPROHSA202825		69	1	2	2	
SPROHSA20298		76	0	4	2	
SPROHSA20318		84	0	0	1	
SPROHSA203354		74	1	2	1	
SPROHSA203488		78	1	2	5	
SPROHSA203808		59	4	4	12	
SPROHSA20476		98	2	3	4	
SPROHSA20495		41	0	0	2	
SPROHSA20517		96	0	1	1	
SPROHSA20536		96	2	1	3	
SPROHSA20545		98	0	0	2	
SPROHSA20570		95	1	6	3	
SPROHSA20603		87	7	9	8	
SPROHSA206776		85	1	1	1	
SPROHSA206961		33	0	1	2	
SPROHSA207525		19	0	0	2	
SPROHSA207947		93	1	2	0	
SPROHSA208062		97	0	1	3	
SPROHSA208382		55	0	0	1	
SPROHSA208662		88	3	1	0	
SPROHSA208697		52	0	1	0	
SPROHSA209413		88	1	1	0	
SPROHSA209463		65	1	1	2	
SPROHSA209808		86	0	3	0	
SPROHSA210042		51	4	14	2	
SPROHSA210776		69	0	0	2	
SPROHSA21101		85	1	1	0	
SPROHSA211075		100	1	2	3	
SPROHSA211202		16	0	1	1	
SPROHSA213508		77	0	2	0	
SPROHSA213826		25	2	2	0	
SPROHSA214020		36	1	1	0	
SPROHSA21469		92	0	1	1	
SPROHSA214902		100	0	1	4	
SPROHSA215385		100	0	0	2	
SPROHSA215626		47	0	0	2	
SPROHSA2159		90	1	1	1	
SPROHSA215983		51	0	4	1	
SPROHSA216062		86	2	5	0	
SPROHSA216275		68	1	2	0	
SPROHSA216421		47	1	2	1	
SPROHSA216717		52	0	2	2	
SPROHSA216767		69	2	5	3	
SPROHSA217293		89	3	5	6	
SPROHSA217339		94	0	3	0	
SPROHSA217563		72	2	1	0	
SPROHSA217583		33	0	0	2	
SPROHSA217748		51	2	8	0	
SPROHSA218003		84	1	2	0	
SPROHSA219156		36	0	0	1	
SPROHSA219891		77	1	2	3	
SPROHSA22001		53	0	1	2	
SPROHSA22007		78	0	1	1	
SPROHSA220315		13	0	0	2	
SPROHSA221043		98	0	0	2	
SPROHSA221274		33	0	1	1	
SPROHSA221373		82	1	1	0	
SPROHSA22228		83	4	6	12	
SPROHSA223190		83	1	1	1	
SPROHSA223241		51	3	7	1	
SPROHSA223874		38	1	0	2	
SPROHSA224115		52	0	8	1	
SPROHSA224696		56	4	5	23	
SPROHSA224758		51	1	3	11	
SPROHSA224769		38	1	1	0	
SPROHSA225674		52	1	1	1	
SPROHSA227236		97	1	3	1	
SPROHSA227331		94	5	0	0	
SPROHSA227472		74	1	3	2	
SPROHSA227530		99	0	1	0	
SPROHSA227558		91	2	5	0	
SPROHSA22830		95	1	1	2	
SPROHSA228830		71	0	0	2	
SPROHSA228933		54	1	0	3	
SPROHSA228991		84	1	1	0	
SPROHSA229177		56	1	3	1	
SPROHSA229934		100	2	3	2	
SPROHSA230413		76	2	3	3	
SPROHSA231212		74	1	5	4	
SPROHSA231788		99	0	0	2	
SPROHSA232265		59	1	1	0	
SPROHSA23424		91	0	1	0	
SPROHSA234886		61	0	1	2	
SPROHSA235287		100	2	3	1	
SPROHSA235430		68	1	0	2	
SPROHSA235496		100	1	2	4	
SPROHSA236055		76	1	3	0	
SPROHSA236253		60	0	1	1	
SPROHSA236429		83	1	2	0	
SPROHSA237097		83	1	1	2	
SPROHSA237277		100	2	3	1	
SPROHSA23743		77	0	0	2	
SPROHSA237800		100	1	2	1	
SPROHSA237837		86	1	2	1	
SPROHSA237945		89	2	1	1	
SPROHSA23811		86	0	2	0	
SPROHSA238530		88	0	0	2	
SPROHSA239116		92	0	1	2	
SPROHSA239583		66	0	1	1	
SPROHSA239623		28	1	2	1	
SPROHSA239867		94	2	7	6	
SPROHSA240001		96	2	2	0	
SPROHSA240771		100	3	2	3	
SPROHSA240975		99	0	0	5	
SPROHSA241002		78	0	0	2	
SPROHSA241006		64	4	7	6	
SPROHSA241170		77	1	2	25	
SPROHSA241437		96	6	4	6	
SPROHSA242060		82	0	3	3	
SPROHSA24306		100	0	2	0	
SPROHSA243130		94	0	2	0	
SPROHSA248465		49	0	0	2	
SPROHSA249627		95	4	5	11	
SPROHSA250266		50	0	1	2	
SPROHSA250634		63	2	1	2	
SPROHSA251433		71	1	0	2	
SPROHSA25257		97	4	3	1	
SPROHSA252605		74	0	2	3	
SPROHSA252685		56	0	0	2	
SPROHSA253226		48	0	2	0	
SPROHSA253544		89	0	1	2	
SPROHSA253704		96	2	1	1	
SPROHSA25564		92	1	0	1	
SPROHSA256161		83	1	0	1	
SPROHSA257437		100	0	0	1	
SPROHSA257473		76	0	0	2	
SPROHSA258100		70	0	3	1	
SPROHSA258207		94	0	1	3	
SPROHSA258405		59	0	2	0	
SPROHSA25913		57	0	2	0	
SPROHSA260610		55	1	4	6	
SPROHSA261523		97	0	1	1	
SPROHSA261748		27	1	0	2	
SPROHSA261926		80	4	3	2	
SPROHSA263370		81	0	0	2	
SPROHSA264549		98	0	1	1	
SPROHSA264778		46	0	1	0	
SPROHSA264847		79	1	0	4	
SPROHSA265770		69	0	0	2	
SPROHSA266554		62	0	0	3	
SPROHSA267856		97	2	3	4	
SPROHSA269059		92	0	1	2	
SPROHSA269813		42	0	0	1	
SPROHSA270076		56	1	4	6	
SPROHSA272364		99	1	2	3	
SPROHSA273394		76	1	1	2	
SPROHSA274454		93	0	4	1	
SPROHSA27480		95	0	0	2	
SPROHSA275374		74	0	0	1	
SPROHSA275944		50	0	1	1	
SPROHSA277706		60	1	2	4	
SPROHSA279778		99	0	0	2	
SPROHSA283014		79	2	2	0	
SPROHSA283915		100	0	0	2	
SPROHSA284201		97	0	0	2	
SPROHSA284743		74	0	1	0	
SPROHSA285102		49	0	2	2	
SPROHSA285647		93	0	1	1	
SPROHSA286833		88	0	0	2	
SPROHSA288575		100	0	2	2	
SPROHSA289004		52	1	0	2	
SPROHSA289293		96	0	2	0	
SPROHSA28967		33	0	0	2	
SPROHSA290078		64	0	1	0	
SPROHSA290101		64	0	0	2	
SPROHSA290565		98	0	2	1	
SPROHSA290754		95	2	2	2	
SPROHSA292239		95	0	1	1	
SPROHSA292643		95	0	1	1	
SPROHSA293221		99	0	1	2	
SPROHSA293425		98	0	0	3	
SPROHSA293475		49	0	1	4	
SPROHSA296261		95	0	1	0	
SPROHSA297503		89	0	1	4	
SPROHSA297786		91	2	1	2	
SPROHSA300084		65	0	0	3	
SPROHSA303416		100	0	1	0	
SPROHSA304545		99	0	0	2	
SPROHSA306098		92	0	0	2	
SPROHSA306150		42	0	0	2	
SPROHSA307809		87	2	2	2	
SPROHSA309651		94	0	0	2	
SPROHSA311451		92	0	2	0	
SPROHSA311879		95	4	7	2	
SPROHSA312257		67	0	1	1	
SPROHSA312803		85	1	1	2	
SPROHSA31390		99	1	3	0	
SPROHSA317085		65	0	1	5	
SPROHSA317145		40	2	2	1	
SPROHSA317885		59	0	1	2	
SPROHSA319968		85	0	2	2	
SPROHSA320627		97	1	4	2	
SPROHSA32077		99	1	2	0	
SPROHSA322367		91	0	2	2	
SPROHSA322669		100	2	2	0	
SPROHSA322865		87	1	4	12	
SPROHSA324125		94	2	1	4	
SPROHSA32477		94	2	2	0	
SPROHSA325211		84	1	1	0	
SPROHSA325790		99	1	2	1	
SPROHSA326075		15	0	2	1	
SPROHSA330245		98	6	5	26	
SPROHSA331089		95	1	1	2	
SPROHSA333691		67	1	2	0	
SPROHSA334271		85	0	1	6	
SPROHSA334832		62	5	11	4	
SPROHSA336319		81	1	2	3	
SPROHSA33718		97	2	2	4	
SPROHSA337197		100	0	2	5	
SPROHSA337655		67	0	0	2	
SPROHSA337823		80	0	1	3	
SPROHSA337947		35	1	3	1	
SPROHSA338471		98	4	6	1	
SPROHSA34033		92	2	1	1	
SPROHSA341984		65	0	2	2	
SPROHSA342784		94	0	1	1	
SPROHSA343888		77	0	2	1	
SPROHSA345134		89	2	1	1	
SPROHSA345511		97	0	0	1	
SPROHSA345619		45	0	1	2	
SPROHSA346140		99	0	1	0	
SPROHSA346881		86	1	2	3	
SPROHSA347224		70	1	2	3	
SPROHSA348075		62	0	0	1	
SPROHSA349154		87	0	2	2	
SPROHSA351562		54	1	1	2	
SPROHSA355203		73	2	3	1	
SPROHSA355986		91	5	5	9	
