Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	GRLCL_1D_ETHCD Spectral Count	GRLCL_1D_HCD Spectral Count	GRLCL_2D_ETHCD Spectral Count	GRLCL_1D_ETHCD Intensity	GRLCL_1D_HCD Intensity	GRLCL_2D_ETHCD Intensity	Indistinguishable Proteins
SPROHSA10386	SPROHSA10386	SPROHSA10386		26			SPROHSA10386	1.0000	0.9977	1	3	0	3	1	2	0	     0	     0	     0	SPROHSA10387, SPROHSA199283, SPROHSA199284, SPROHSA209222, SPROHSA209223, SPROHSA232988, SPROHSA232989, SPROHSA321552, SPROHSA321553, SPROHSA321554, SPROHSA329656, SPROHSA329657, SPROHSA354438, SPROHSA354439, SPROHSA354440, SPROHSA360016, SPROHSA360017, SPROHSA372450, SPROHSA80269, SPROHSA97283, SPROHSA97284, SPROHSA97285	
SPROHSA103995	SPROHSA103995	SPROHSA103995		37			SPROHSA103995	1.0000	0.9942	1	4	0	4	2	1	1	     0	     0	     0	SPROHSA103996, SPROHSA103997, SPROHSA104883, SPROHSA104884, SPROHSA104885, SPROHSA156154, SPROHSA156155, SPROHSA156156, SPROHSA254316, SPROHSA254317, SPROHSA254318, SPROHSA288699, SPROHSA288700, SPROHSA288701, SPROHSA292065, SPROHSA303016, SPROHSA370181, SPROHSA370182, SPROHSA370183, SPROHSA378289, SPROHSA378290, SPROHSA378291, SPROHSA50283, SPROHSA50284, SPROHSA50285, SPROHSA84693, SPROHSA84694, SPROHSA84695	
SPROHSA104097	SPROHSA104097	SPROHSA104097		60			SPROHSA104097	1.0000	0.9651	2	2	0	2	0	2	0	     0	     0	     0	SPROHSA217580, SPROHSA276435, SPROHSA276436, SPROHSA279787, SPROHSA286056, SPROHSA361748	
SPROHSA104304	SPROHSA104304	SPROHSA104304		31			SPROHSA104304	1.0000	0.9936	2	5	0	5	1	2	2	     0	     0	     0	SPROHSA262719, SPROHSA273036, SPROHSA278974, SPROHSA278975, SPROHSA317769, SPROHSA59390, SPROHSA59391, SPROHSA59392	
SPROHSA104436	SPROHSA104436	SPROHSA104436		93			SPROHSA104436	1.0000	0.9969	2	6	0	6	1	3	2	     0	     0	     0	SPROHSA142827, SPROHSA155664, SPROHSA158525, SPROHSA207562, SPROHSA36160, SPROHSA366011, SPROHSA41895	
SPROHSA104465	SPROHSA104465	SPROHSA104465		87			SPROHSA104465	1.0000	0.9981	5	22	0	22	4	9	9	     0	     0	     0	SPROHSA261063	
SPROHSA104763	SPROHSA104763	SPROHSA104763		41			SPROHSA104763	1.0000	0.9886	1	3	0	3	1	2	0	     0	     0	     0	SPROHSA121452, SPROHSA123799, SPROHSA186604, SPROHSA23186, SPROHSA252707, SPROHSA269584, SPROHSA279159, SPROHSA283758, SPROHSA332281, SPROHSA337652, SPROHSA33962, SPROHSA363909, SPROHSA4488, SPROHSA88304	
SPROHSA104774	SPROHSA104774	SPROHSA104774		79			SPROHSA104774	1.0000	0.9863	1	2	0	2	0	0	2	     0	     0	     0	SPROHSA104775, SPROHSA117655, SPROHSA131397, SPROHSA131398, SPROHSA163549, SPROHSA163551, SPROHSA206195, SPROHSA206196, SPROHSA210812, SPROHSA210813, SPROHSA230161, SPROHSA230162, SPROHSA241722, SPROHSA299713, SPROHSA373055, SPROHSA373056	
SPROHSA105213	SPROHSA105213	SPROHSA105213		93			SPROHSA105213	1.0000	0.9857	1	2	0	2	0	0	2	     0	     0	     0	SPROHSA105214, SPROHSA160532, SPROHSA179138, SPROHSA233434, SPROHSA233435	
SPROHSA105245	SPROHSA105245	SPROHSA105245		77			SPROHSA105245	1.0000	0.9866	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA244253, SPROHSA357507, SPROHSA378461	
SPROHSA105477	SPROHSA105477	SPROHSA105477		39			SPROHSA105477	1.0000	0.9820	3	8	0	8	0	3	5	     0	     0	     0	SPROHSA105478, SPROHSA105479, SPROHSA209621, SPROHSA209622, SPROHSA209623, SPROHSA305392, SPROHSA305393, SPROHSA305394, SPROHSA338460, SPROHSA338461, SPROHSA338462, SPROHSA364244, SPROHSA364245, SPROHSA364246, SPROHSA391840, SPROHSA391841	
SPROHSA105511	SPROHSA105511	SPROHSA105511		78			SPROHSA105511	1.0000	0.9983	1	2	0	2	1	1	0	     0	     0	     0	SPROHSA119975, SPROHSA119976, SPROHSA227732, SPROHSA379799, SPROHSA38843	
SPROHSA105785	SPROHSA105785	SPROHSA105785		79			SPROHSA105785	1.0000	0.9732	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA129938, SPROHSA161536, SPROHSA222437, SPROHSA223226, SPROHSA346699, SPROHSA381896, SPROHSA43816	
SPROHSA105795	SPROHSA105795	SPROHSA105795		95			SPROHSA105795	1.0000	0.9852	1	5	0	5	0	1	4	     0	     0	     0	SPROHSA132917, SPROHSA206110	
SPROHSA105973	SPROHSA105973	SPROHSA105973		93			SPROHSA105973	1.0000	0.9975	2	11	0	11	1	3	7	     0	     0	     0	SPROHSA318319, SPROHSA52845	
SPROHSA106010	SPROHSA106010	SPROHSA106010		94			SPROHSA106010	1.0000	0.9990	2	6	0	6	1	3	2	     0	     0	     0	SPROHSA15551, SPROHSA198125, SPROHSA223259, SPROHSA335511, SPROHSA363645, SPROHSA368593, SPROHSA388483, SPROHSA392416, SPROHSA63749, SPROHSA74959, SPROHSA94242	
SPROHSA106075	SPROHSA106075	SPROHSA106075		91			SPROHSA106075	1.0000	0.9742	1	2	0	2	0	1	1	     0	     0	     0	SPROHSA290785, SPROHSA387493, SPROHSA387494, SPROHSA389453	
SPROHSA106396	SPROHSA106396	SPROHSA106396		33			SPROHSA106396	1.0000	0.9990	3	8	0	8	3	5	0	     0	     0	     0	SPROHSA108919, SPROHSA120988, SPROHSA13155, SPROHSA141679, SPROHSA178266, SPROHSA18862, SPROHSA205322, SPROHSA226552, SPROHSA229900, SPROHSA247512, SPROHSA258519, SPROHSA384937, SPROHSA391731	
SPROHSA106615	SPROHSA106615	SPROHSA106615		78			SPROHSA106615	1.0000	0.9988	2	4	0	4	0	1	3	     0	     0	     0	SPROHSA106616, SPROHSA106617, SPROHSA11911, SPROHSA11912, SPROHSA11913, SPROHSA2698, SPROHSA331453, SPROHSA331454, SPROHSA375650, SPROHSA375651, SPROHSA98685, SPROHSA98686, SPROHSA98687	
SPROHSA106620	SPROHSA106620	SPROHSA106620		92			SPROHSA106620	1.0000	0.9972	2	6	0	6	2	2	2	     0	     0	     0	SPROHSA10755, SPROHSA141589, SPROHSA17187, SPROHSA321686, SPROHSA325381, SPROHSA388033, SPROHSA391376, SPROHSA63641, SPROHSA8499	
SPROHSA106810	SPROHSA106810	SPROHSA106810		37			SPROHSA106810	1.0000	0.9916	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA137448, SPROHSA200965, SPROHSA224983, SPROHSA243327, SPROHSA283134, SPROHSA322696, SPROHSA334391, SPROHSA34570, SPROHSA352437, SPROHSA352918, SPROHSA390110	
SPROHSA106874	SPROHSA106874	SPROHSA106874		23			SPROHSA106874	1.0000	0.9944	1	3	0	3	0	0	3	     0	     0	     0	SPROHSA124654, SPROHSA194977, SPROHSA253862, SPROHSA269778, SPROHSA32129	
SPROHSA106879	SPROHSA106879	SPROHSA106879		58			SPROHSA106879	1.0000	0.9986	3	8	0	8	2	5	1	     0	     0	     0	SPROHSA12066, SPROHSA217167, SPROHSA223055, SPROHSA23315, SPROHSA244833, SPROHSA288769, SPROHSA296064, SPROHSA320298, SPROHSA355506, SPROHSA36184, SPROHSA65059, SPROHSA80101	
SPROHSA106923	SPROHSA106923	SPROHSA106923		47			SPROHSA106923	1.0000	0.9984	2	3	0	3	1	1	1	     0	     0	     0	SPROHSA121613, SPROHSA179762, SPROHSA295148, SPROHSA302758	
SPROHSA107067	SPROHSA107067	SPROHSA107067		58			SPROHSA107067	1.0000	0.9965	2	6	0	6	2	3	1	     0	     0	     0	SPROHSA178358, SPROHSA178361, SPROHSA206682, SPROHSA230220, SPROHSA249795, SPROHSA273515, SPROHSA30543, SPROHSA308609, SPROHSA318935, SPROHSA328679, SPROHSA372847, SPROHSA376571, SPROHSA388901, SPROHSA44124, SPROHSA70627, SPROHSA72187, SPROHSA88276, SPROHSA91512	
SPROHSA107389	SPROHSA107389	SPROHSA107389		28			SPROHSA107389	1.0000	0.9956	1	3	0	3	0	1	2	     0	     0	     0	SPROHSA324536, SPROHSA392193	
SPROHSA107501	SPROHSA107501	SPROHSA107501		95			SPROHSA107501	1.0000	0.9883	1	3	0	3	1	0	2	     0	     0	     0	SPROHSA107505, SPROHSA12516, SPROHSA213862, SPROHSA213863, SPROHSA230264, SPROHSA329069	
SPROHSA107671	SPROHSA107671	SPROHSA107671		39			SPROHSA107671	1.0000	0.9982	1	2	0	2	0	2	0	     0	     0	     0	SPROHSA14611, SPROHSA198623, SPROHSA231469, SPROHSA3055, SPROHSA33615, SPROHSA65965, SPROHSA678	
SPROHSA1079	SPROHSA1079	SPROHSA1079		55			SPROHSA1079	1.0000	0.9914	1	4	0	4	2	1	1	     0	     0	     0	SPROHSA110036, SPROHSA147903, SPROHSA147904, SPROHSA149541, SPROHSA162845, SPROHSA162846, SPROHSA162847, SPROHSA241092, SPROHSA29074, SPROHSA319778, SPROHSA319779, SPROHSA319780, SPROHSA328506, SPROHSA328507, SPROHSA355535, SPROHSA39266, SPROHSA8831	
SPROHSA108032	SPROHSA108032	SPROHSA108032		96			SPROHSA108032	1.0000	0.9922	1	3	0	3	0	2	1	     0	     0	     0	SPROHSA108786, SPROHSA126891, SPROHSA157938, SPROHSA157939, SPROHSA16400, SPROHSA16401, SPROHSA2621, SPROHSA314001, SPROHSA327084, SPROHSA38426, SPROHSA44162, SPROHSA59407, SPROHSA59408, SPROHSA60816, SPROHSA72216, SPROHSA72217, SPROHSA75556, SPROHSA92545	
SPROHSA10808	SPROHSA10808	SPROHSA10808		29			SPROHSA10808	1.0000	0.9948	1	5	0	5	2	2	1	     0	     0	     0	SPROHSA10809, SPROHSA144818, SPROHSA144819, SPROHSA155928, SPROHSA158530, SPROHSA244040, SPROHSA2602, SPROHSA361473, SPROHSA387884, SPROHSA387885, SPROHSA65056, SPROHSA65057, SPROHSA76373	
SPROHSA108491	SPROHSA108491	SPROHSA108491		79			SPROHSA108491	1.0000	0.9986	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA239480	
SPROHSA108601	SPROHSA108601	SPROHSA108601		54			SPROHSA108601	1.0000	0.9985	2	4	0	4	1	2	1	     0	     0	     0	SPROHSA161420, SPROHSA347440, SPROHSA383043, SPROHSA56731	
SPROHSA109008	SPROHSA109008	SPROHSA109008		90			SPROHSA109008	1.0000	0.9979	2	4	0	4	1	3	0	     0	     0	     0	SPROHSA163065	
SPROHSA109136	SPROHSA109136	SPROHSA109136		80			SPROHSA109136	1.0000	0.9990	1	1	0	1	0	1	0	     0	     0	     0	SPROHSA359662	
SPROHSA109223	SPROHSA109223	SPROHSA109223		53			SPROHSA109223	1.0000	0.9983	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA140384, SPROHSA26461, SPROHSA265130, SPROHSA4248	
SPROHSA109395	SPROHSA109395	SPROHSA109395		88			SPROHSA109395	1.0000	0.9963	2	3	0	3	1	1	1	     0	     0	     0	SPROHSA226254, SPROHSA226255, SPROHSA226256, SPROHSA252332	
SPROHSA10943	SPROHSA10943	SPROHSA10943		75			SPROHSA10943	1.0000	0.9945	2	3	0	3	1	1	1	     0	     0	     0	SPROHSA243788, SPROHSA273859, SPROHSA27812, SPROHSA292304, SPROHSA304111, SPROHSA310726, SPROHSA310727, SPROHSA310728, SPROHSA322995, SPROHSA330702, SPROHSA330703, SPROHSA355244, SPROHSA64779, SPROHSA64780, SPROHSA64781, SPROHSA74708, SPROHSA82859	
SPROHSA109438	SPROHSA109438	SPROHSA109438		62			SPROHSA109438	1.0000	0.9970	1	3	0	3	0	1	2	     0	     0	     0	SPROHSA111422, SPROHSA117080, SPROHSA127595, SPROHSA211265, SPROHSA211266, SPROHSA268866, SPROHSA268867, SPROHSA318845	
SPROHSA109714	SPROHSA109714	SPROHSA109714		97			SPROHSA109714	1.0000	0.9945	3	6	0	6	2	3	1	     0	     0	     0	SPROHSA170485	
SPROHSA109770	SPROHSA109770	SPROHSA109770		30			SPROHSA109770	1.0000	0.9772	1	4	0	4	0	1	3	     0	     0	     0	SPROHSA110103, SPROHSA111604, SPROHSA138731, SPROHSA160406, SPROHSA160407, SPROHSA160408, SPROHSA160409, SPROHSA190947, SPROHSA190948, SPROHSA190949, SPROHSA190950, SPROHSA190951, SPROHSA190952, SPROHSA190953, SPROHSA207834, SPROHSA207835, SPROHSA207836, SPROHSA207837, SPROHSA247611, SPROHSA247612, SPROHSA247613, SPROHSA247614, SPROHSA247615, SPROHSA247616, SPROHSA247617, SPROHSA251945, SPROHSA350960, SPROHSA350961, SPROHSA350962, SPROHSA350963, SPROHSA350964, SPROHSA48351, SPROHSA48352, SPROHSA48353	
SPROHSA110105	SPROHSA110105	SPROHSA110105		93			SPROHSA110105	1.0000	0.9890	4	6	0	6	0	2	4	     0	     0	     0	SPROHSA320804, SPROHSA388809, SPROHSA388810	
SPROHSA110132	SPROHSA110132	SPROHSA110132		85			SPROHSA110132	1.0000	0.9980	4	3	0	8	0	3	0	     0	     0	     0	SPROHSA230296, SPROHSA261158	
SPROHSA110383	SPROHSA110383	SPROHSA110383		67			SPROHSA110383	1.0000	0.9963	2	4	0	4	1	1	2	     0	     0	     0	SPROHSA116989, SPROHSA12326, SPROHSA141183, SPROHSA285566, SPROHSA301448, SPROHSA345541	
SPROHSA110423	SPROHSA110423	SPROHSA110423		98			SPROHSA110423	1.0000	0.9891	2	4	0	4	1	2	1	     0	     0	     0		
SPROHSA11056	SPROHSA11056	SPROHSA11056		93			SPROHSA11056	1.0000	0.9976	5	15	0	15	2	6	7	     0	     0	     0	SPROHSA181546, SPROHSA305960, SPROHSA321550, SPROHSA377941, SPROHSA76612	
SPROHSA110642	SPROHSA110642	SPROHSA110642		46			SPROHSA110642	1.0000	0.9934	2	10	0	10	2	3	5	     0	     0	     0	SPROHSA114415, SPROHSA137990, SPROHSA138962, SPROHSA138963, SPROHSA243828	
SPROHSA110748	SPROHSA110748	SPROHSA110748		80			SPROHSA110748	1.0000	0.9986	2	5	5	5	1	2	2	     0	     0	     0		
SPROHSA111115	SPROHSA111115	SPROHSA111115		73			SPROHSA111115	1.0000	0.9981	2	7	0	7	2	3	2	     0	     0	     0	SPROHSA127888, SPROHSA209747, SPROHSA341567, SPROHSA343291, SPROHSA383376, SPROHSA47732, SPROHSA53385	
SPROHSA111158	SPROHSA111158	SPROHSA111158		97			SPROHSA111158	1.0000	0.9765	3	4	0	4	0	0	4	     0	     0	     0	SPROHSA18709, SPROHSA284411	
SPROHSA111162	SPROHSA111162	SPROHSA111162		99			SPROHSA111162	1.0000	0.9857	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA128567, SPROHSA129768, SPROHSA179288, SPROHSA200572, SPROHSA200573, SPROHSA200574, SPROHSA24135, SPROHSA241610, SPROHSA241637, SPROHSA342440, SPROHSA357846, SPROHSA39872, SPROHSA39875, SPROHSA39876, SPROHSA39898	
SPROHSA11122	SPROHSA11122	SPROHSA11122		73			SPROHSA11122	1.0000	0.9974	2	7	0	7	3	1	3	     0	     0	     0	SPROHSA174272, SPROHSA83101	
SPROHSA111411	SPROHSA111411	SPROHSA111411		96			SPROHSA111411	1.0000	0.9825	2	3	0	3	0	1	2	     0	     0	     0	SPROHSA133970, SPROHSA340102	
SPROHSA111475	SPROHSA111475	SPROHSA111475		90			SPROHSA111475	1.0000	0.9986	1	4	0	4	0	2	2	     0	     0	     0	SPROHSA111477, SPROHSA343370	
SPROHSA111513	SPROHSA111513	SPROHSA111513		83			SPROHSA111513	1.0000	0.9990	3	9	0	9	3	4	2	     0	     0	     0	SPROHSA13519, SPROHSA136682, SPROHSA136684, SPROHSA210028, SPROHSA289430, SPROHSA349171, SPROHSA44546, SPROHSA64485, SPROHSA7700, SPROHSA81887, SPROHSA81889	
SPROHSA111524	SPROHSA111524	SPROHSA111524		81			SPROHSA111524	1.0000	0.9945	4	13	0	13	3	5	5	     0	     0	     0	SPROHSA254661, SPROHSA357441	
SPROHSA111526	SPROHSA111526	SPROHSA111526		75			SPROHSA111526	1.0000	0.9835	1	3	0	3	0	1	2	     0	     0	     0	SPROHSA11700, SPROHSA131223, SPROHSA2079, SPROHSA209594, SPROHSA219361, SPROHSA27972, SPROHSA285948, SPROHSA301494, SPROHSA319600, SPROHSA320858, SPROHSA337014, SPROHSA338220, SPROHSA358088, SPROHSA994	
SPROHSA111597	SPROHSA111597	SPROHSA111597		23			SPROHSA111597	1.0000	0.9963	1	6	0	6	1	2	3	     0	     0	     0	SPROHSA127490, SPROHSA163599, SPROHSA172593, SPROHSA29896, SPROHSA326813, SPROHSA335500, SPROHSA381408, SPROHSA72773, SPROHSA91650	
SPROHSA111643	SPROHSA111643	SPROHSA111643		46			SPROHSA111643	1.0000	0.9876	1	2	0	2	0	0	2	     0	     0	     0	SPROHSA111644, SPROHSA111645, SPROHSA184989, SPROHSA184990, SPROHSA184991, SPROHSA196448, SPROHSA196449, SPROHSA266634, SPROHSA2754, SPROHSA2755, SPROHSA2756, SPROHSA334490, SPROHSA7392, SPROHSA7393	
SPROHSA111667	SPROHSA111667	SPROHSA111667		94			SPROHSA111667	1.0000	0.9940	2	3	0	3	0	1	2	     0	     0	     0	SPROHSA17917	
SPROHSA111703	SPROHSA111703	SPROHSA111703		69			SPROHSA111703	1.0000	0.9957	2	8	0	8	2	3	3	     0	     0	     0	SPROHSA113061, SPROHSA115004, SPROHSA129703, SPROHSA129705, SPROHSA176646, SPROHSA229296, SPROHSA229298, SPROHSA261181, SPROHSA261183, SPROHSA281402, SPROHSA281403, SPROHSA308715, SPROHSA338172, SPROHSA368289, SPROHSA42613, SPROHSA42615, SPROHSA5517, SPROHSA92365, SPROHSA92366	
SPROHSA111838	SPROHSA111838	SPROHSA111838		100			SPROHSA111838	1.0000	0.9983	4	12	0	12	2	3	7	     0	     0	     0	SPROHSA175839, SPROHSA32428	
SPROHSA111887	SPROHSA111887	SPROHSA111887		89			SPROHSA111887	1.0000	0.9780	1	1	0	1	0	1	0	     0	     0	     0	SPROHSA243855, SPROHSA327575, SPROHSA343537, SPROHSA77406, SPROHSA9836	
SPROHSA111915	SPROHSA111915	SPROHSA111915		69			SPROHSA111915	1.0000	0.9869	2	2	0	2	0	1	1	     0	     0	     0	SPROHSA116591, SPROHSA17826	
SPROHSA111956	SPROHSA111956	SPROHSA111956		87			SPROHSA111956	1.0000	0.9977	1	1	0	1	0	1	0	     0	     0	     0	SPROHSA111957, SPROHSA172776, SPROHSA172777, SPROHSA21470, SPROHSA21471, SPROHSA2510, SPROHSA2511, SPROHSA295774, SPROHSA295775, SPROHSA323666, SPROHSA323667	
